stationid,stationname,masterid,latitude,longitude,huc,county,smcshed,taxon
801M15530,,801M15530,34.07865,-117.06717,801,San Bernardino,Upper Santa Ana,NR
801M15524,,801M15524,34.04813,-117.23001,801,San Bernardino,Upper Santa Ana,NR
902M20237,,902M20237,33.40889,-117.21367,902,San Diego,Northern San Diego,Not Recorded
902M20273,,902M20273,33.40282,-117.25509,902,San Diego,Northern San Diego,Other amphibian
902M20273,,902M20273,33.40282,-117.25509,902,San Diego,Northern San Diego,Other fish
902WE0888,De Luz Creek Trib ~1.8mi above De Luz Creek,902WE0888,33.45407,-117.30182,902,San Diego,Northern San Diego,Other amphibian
902WE0888,De Luz Creek Trib ~1.8mi above De Luz Creek,902WE0888,33.45407,-117.30182,902,San Diego,Northern San Diego,Other amphibian
903M20280,,903M20280,33.29662,-117.21939,903,San Diego,Northern San Diego,Procambarus clarkii
903M20280,,903M20280,33.29662,-117.21939,903,San Diego,Northern San Diego,Gambusia affinis
907M23385,,907M23385,32.81067,-117.07466,907,San Diego,Mission Bay and San Diego River,Procambarus clarkii
907M23385,,907M23385,32.81067,-117.07466,907,San Diego,Mission Bay and San Diego River,Ameiurus sp
907M23385,,907M23385,32.81067,-117.07466,907,San Diego,Mission Bay and San Diego River,Micropterus salmoides
907M23401,,907M23401,32.83431,-117.04648,907,San Diego,Mission Bay and San Diego River,Other amphibian
907M23401,,907M23401,32.83431,-117.04648,907,San Diego,Mission Bay and San Diego River,Gambusia affinis
907M23401,,907M23401,32.83431,-117.04648,907,San Diego,Mission Bay and San Diego River,Micropterus salmoides
904M21782,,904M21782,33.15476,-117.03441,904,San Diego,Central San Diego,Not Recorded
904M21761,,904M21761,33.1082,-117.20794,904,San Diego,Central San Diego,Other amphibian
904M21761,,904M21761,33.1082,-117.20794,904,San Diego,Central San Diego,Procambarus clarkii
904M21761,,904M21761,33.1082,-117.20794,904,San Diego,Central San Diego,Micropterus salmoides
904M21761,,904M21761,33.1082,-117.20794,904,San Diego,Central San Diego,Lepomis cyanellus
904M21784,,904M21784,33.18782,-117.27686,904,San Diego,Central San Diego,Not Recorded
904WE1125,Escondido Creek above Country Club Dr.,904WE1125,33.09896,-117.12876,904,San Diego,Central San Diego,Procambarus clarkii
904WE1125,Escondido Creek above Country Club Dr.,904WE1125,33.09896,-117.12876,904,San Diego,Central San Diego,Gambusia affinis
904WE1125,Escondido Creek above Country Club Dr.,904WE1125,33.09896,-117.12876,904,San Diego,Central San Diego,Lepomis cyanellus
904WE1125,Escondido Creek above Country Club Dr.,904WE1125,33.09896,-117.12876,904,San Diego,Central San Diego,Micropterus salmoides
802M16985,,802M16985,33.67433,-117.26734,802,Riverside,San Jacinto,Other amphibian
802M16985,,802M16985,33.67433,-117.26734,802,Riverside,San Jacinto,Procambarus clarkii
801M16957,,801M16957,33.85539,-117.3551,801,Riverside,Middle Santa Ana,Not Recorded
SMC09698,,802S09698,33.7459,-116.70739,802,Riverside,San Jacinto,Not Recorded
SMC11581,,SMC11581,33.95246,-117.60611,801,Riverside,Middle Santa Ana,Not Recorded
SMC01640,,SMC01640,34.15335,-118.69679,404,Los Angeles,Santa Monica Bay,Not Recorded
SMC01384,,SMC01384,34.0646,-118.70091,404,Los Angeles,Santa Monica Bay,Procambarus clarkii
SMC01384,,SMC01384,34.0646,-118.70091,404,Los Angeles,Santa Monica Bay,Gambusia affinis
SMC01384,,SMC01384,34.0646,-118.70091,404,Los Angeles,Santa Monica Bay,Micropterus salmoides
SMC01384,,SMC01384,34.0646,-118.70091,404,Los Angeles,Santa Monica Bay,Cyprinus carpio
404M07376,,404M07376,34.08222,-118.68792,404,Los Angeles,Santa Monica Bay,Other amphibian
404M07375,,404M07375,34.0915,-118.6697,404,Los Angeles,Santa Monica Bay,Other amphibian
SMC01640,,SMC01640,34.15335,-118.69679,404,Los Angeles,Santa Monica Bay,NA
404M07375,,404M07375,34.0915,-118.6697,404,Los Angeles,Santa Monica Bay,Other amphibian
404M07372,,404M07372,34.13604,-118.75743,404,Los Angeles,Santa Monica Bay,Procambarus clarkii
